start,transcript
0:0,러브틴에이저 러브틴에이저
0:9,同城的左半邊的飛球 來看一下最後阻礙手 沒有問題 完成了接傷 我們裁判
0:18,這球打得蠻紮實的 不過看看位置 中安手已經是施力他來處理 陳傑憲就定位完成了接殺
0:27,這球打成在中左外野方向 蠻深遠的位置 落地形成了安打 現在看能不能夠把 Paz-Contino守在二壘這邊 回傳球來得很快
0:36,sorry you Are out
0:45,一球不回頭 主委加碼 楊純炮 今天台灣大線第一局就分數的開張 林姿慧
0:54,We love you 這完全逮中 完全逮中 漂亮
1:3,太過癮了 今天在第一局馬上就用陽春炮跟對手說哈囉 台灣隊1比0領先
1:12,這球在右半邊有點擠壓到落地形成安打
1:21,地鐵上的跑車走 這一球打成了一個高飛球 來看一下游擊手追過去 阻礙手也追過去 最後是落在了這裡 哇 形成一個得主安打
1:30,打成了在中間方向的飛球 蠻深遠的往後退 承傑先往後退 往後退在警戒區 完成了接殺
1:39,現在要趕快進行回傳 二壘上的跑者是往前推進 來到了三壘 短棒擺出來 突然間來一個強迫取分
1:48,哇 這個時候他們的戰術很靈活耶 對 他想要跟你先拿一分 然後打成平分 先追平啊 對
1:57,看看這一棒在左半邊 哇 落地形成安打 現在跑者要回來二上 跑者繞過三壘之後 回到本壘 翹楚安打的是Deluzio
2:6,現在要趕快 要趕快 傳三壘 這邊 哇 也是安全上壘 回報落空遭到了三振 終於接觸意大利
2:15,第一隊在這個半局的攻勢 不過靠著安妮達的串壘 還有一個強迫局分 攻下兩分 目前是以2比1領先台灣隊
2:24,還是意大利的先發投手 這是一個出身球 有上壘 四野這個時候是獲得了出身球寶 縱佔上一壘
2:33,開啟台灣打線在二局下半的攻勢 一壘上的跑者走 這一球也出棒 所以接球之後只能夠選擇傳向一壘
2:42,應該要這樣子做 會比較有一點戰術 中上的一個速度
2:51,要 繞過了三壘之後 要來加足馬力 往前衝刺回到了斑來 台灣隊最平戰局2比2
