start,transcript
0:0:0,good evening welcome to the spanish super cup second leg
0:0:15,"It's Barca-Madrid again. I think we've seen this one before, but every time you always expect the best and we've had some great clashes between these two clubs in 2011. I wonder..."
0:0:30,if they really believe they've got the answer to Pep Guardiola's Barcelona we shall get a little bit more of the answer to that question this evening
0:0:45,"Barcelona lining up with the Wembley XI Victor Valdez in goal, a back four of Alves, Abidal, Pique and Busquets A midfield trio of Xabi, Mandanda and Ramos"
0:1:0,"Serrano and Iniesta, Xavi being the captain. Up front it's Pedro, Messi and Bria MVP. Four Real Madrid in goal, Casillas the captain, a back four of Sergio Ramos."
0:1:15,"big Carvalho in Coentrao, big Coentrao comes in for Marcello at left back Barcelona have got Busquets and Pedro starting in place of Keita and Alexis"
0:1:30,"As ever, alongside me in what is literally a sauna of a football stadium, Steve Archibald. Good evening Steve. Good evening Nick."
0:1:45,It is a sonnet. It is almost unbearable. But what a fantastic night. It's a perfect night for a game of football. Two fantastic teams on the pitch. Scores sitting at 2-2. All to play for in this game.
0:2:0,"We've got Fabregas on the bench, we've got Alexis on the bench, a new signing for Barcelona We've got real competition in this team now, and it's going to be a tough game"
0:2:15,"A big crowd tonight as you would imagine and I think the people are really ready for it. They're caved up for this game tonight. They're singing, they're chanting, they're on the go."
0:2:30,there's not a wave going yet but they're ready for this match as we are normally we ready we're underway and barcelona have possession pk just being closed down there the ball bounces away of d maria and it'll be a three
0:2:45,commentator narrates a specific sports game
0:3:0,again. Could be a chance here. Ronaldo is on to it. Oh and Valdez blocks it. It's away from the corner and Real Madrid have started in the same fashion. They started the first leg in the Bernabeu.
0:3:15,"Yn ddiweddaraf, yn gyntaf hynny, roedd Xavier Alonso yn cael y cyfle gwych a ddewisodd nad ydy'n gallu syrthu pan oedd e'n gallu gwneud yr union a ddecidiodd i'w pasio, ond yn unwaith eto, gadewch i ni weld y rhan yma a byddwn ni'n siarad am hynny."
0:3:30,the Portuguese star yeah as you're saying Xavi Alonso had a great opportunity
0:3:45,
0:4:0,"The kick, the by-kicks from the goalkeeper. Hold up. Hold on a minute, Di Maria's playing the ball forward. Benzema is offside and it'll be Barcelona's ball quickly taken free kick. Cedric Ramos there, playing the ball directly at goal."
0:4:15,commentator narrates a specific sports game
