start,transcript
0:0:0,and this right now is the time where every table tennis fan in the world wants to see what will happen between the man on top right there ma long the dragon the dictator the captain he's world-ranked number one he's the Olympic
0:0:15,He's the standing world champion from Suzhou in 2015 and the only player that seems like a serious contender and he's beaten Ma Long once on the world tour and despite having beaten him three times in the tournament
0:0:30,"the same Chinese Super League season going 3-0 when the pressure is there, there seems to be a mental block or hurdle that is keeping Fan Zhendong from becoming world number one and this will be a real test for the 20 year old."
0:0:45,"to see if he can overpower and outsmart, more importantly, Ma Long here to become the world champion at 20 years old. There's the cup they'll be playing for, the world champions, we'll see."
0:1:0,"Fan Zhendong on his side of the draw started off beating Paragurel of Sweden 4-0 One of the best servers in the game, very difficult to play but Fan Zhendong steady in that An average of a little less than 5 points per game it appears"
0:1:15,"of the day. of the day. This is the first time we've seen This is the first time we've seen a defender of Russia a defender of Russia 4-1. 4-1. Again, for a defender to take Again, for a defender to take two games off of Fan Zhendong. two games off of Fan Zhendong. Really impressive."
0:1:30,"And the amount of championship titles, you can see the results here. Look how many championship titles we have. 2008, 9, 11, 15, and 16. So we're keeping track. I know Ma Long is chasing Vladimir Samsonov."
0:1:45,for world tour titles but as world champion this is just dominant performance out here and again it's been a question of time world rank number two Fan Zhendong with explosive power on both sides he's got the touch he showed us that roller under the net clamp against
0:2:0,"of the year last year. So with all these qualities, like Jonathan Grote said in his Ask a Pro Anything interview, the mental game is what really sets apart a professional and a champion. Lots of people in the world can loop the ball."
0:2:15,"ball powerfully from both sides and have touch. What are your thoughts Gavin? Yeah, that's exactly it. You get to the world number 1, 2, 3, 4. It really is a mental game. Possibly on the world tour."
0:2:30,
0:2:45,to thoroughly deserve for both players here on screen to be here in this final. Yeah we always feel I feel like about a year ago we look head to head between these two and Fan Zhendong has only won once on the world tour.
0:3:0,"against Ma Long. It was in the China Open in 2016. It was a 4-0 victory, but Ma Long has won every other encounter. He's 10-1 against Fan Zhendong, although we do have to look at the most recent matches."
0:3:15,"to really understand the relevance of these statistics. Not to mention at 28 years old, Ma Long might be at his peak, but he's definitely at the peak. He's not still we would think he's not still on his way up. He could continue."
0:3:30,"in the northwest. The league is still in the early stages of development, but the players are still improving. He seems to be maintaining his level, but there's not much other place to go than down from here. By the time he's 30, if he's still able to keep up this performance, Fan Zhendong's going to be 22 years old and still on the incline on his way up."
0:3:45,"at the back of the table. Again, players still feeling each other out. They were actually warming each other up in the practice hall, interestingly enough."
0:4:0,"We talk a lot about mental focus. In the practice hall just earlier, there was a member of the staff who had a medical emergency that was quite scary. I noticed Fang Zhendong, everyone was looking at him."
0:4:15,"was watching in concern, but Fan Zhendong was very focused and made sure that he kept his head in the match for practice here. That could be very distracting and there's no question it got in the heads of pretty much everyone there, you know, human beings feeling for one another."
0:4:30,Not a point dropped yet from the focused Xiaopang Fangjiandong.
0:4:45,sweet spot and how big it is on the backhand side that ball's a wide to the backhand shot and he's moving to get to it but still able to counter and generate a lot of pace it's always like he's making his shot while moving the setup for the next so fast
0:5:0,"First point for Ma Long so far. And by the way, as we get started on this match, if you have any questions for the commentators, you can send them into the social media."
0:5:15,at ITTF World on all social media. Hashtag ask the commentator. Gavin and I will be happy to take those questions.
