start,transcript
0:0:0,World Baseball Classic championship game tonight and the very first pitch to Mookie Betts is taken for a strike. What a top of the order and particularly for a left handed pitcher to have to go.
0:0:15,will go through Betts Trout and Goldschmidt right away. A little hesitation Mookie hits a fly ball right center field Condo over and he'll make the catch short of the warning track for our number one. First Piniella Salfaro Park.
0:0:30,back and Quinn Wolcott the rest of this umpire and crew for this championship game first pitch fastball to Mike Trout just misses a little too far inside. We'll see with a man I got though a lot of glove side fastballs trying to tie up these right handers.
0:0:45,One Oh trout swings through the fastball. And that may be but to a hitter I think a lot of times it appears to be faster firmer.
0:1:0,and is hit to shallow right field Kondo has to race in and it's going to fall base in Trout's going to try for second to throw the slide he's safe.
0:1:15,But you want to talk about five to a player and I think Team USA loves the tone setting there from Trout to hustle his way into an extra base hit down Paul Goldschmidt.
0:1:30,breaking ball to steal strike one left handers like Paul Goldschmidt did last year. What a great opportunity for the United States.
0:1:45,the one coach man a big cut in a high fastball. The job with his strike discipline is always swinging at the right pitches.
0:2:0,infectious we're going through the science. Monaco. Will Check Crafted second. Look back. Got it.
0:2:15,to see Paul Bozeman right there having a little talk with Turner Hey talk to me about the split what is it doing we saw so many of the young pitching stars for Japan in last night's semifinal game. Monica.
0:2:30,He's twenty nine years old he's been around a while. Not out of the woods yet Nolan Arnauto first pitch swing and a ground ball to first pick by Okamoto. He'll take it to the bag himself. Rediscover his game.
0:2:45,to fine tune his game first pitch swing Newt Barr against Kelly and a fly ball shallow left field Mullins for number one going to be very difficult to hit Kelly tonight. One pitch one out.
0:3:0,Ken's game condo stands in a good fastball right on the outside corner strike five extra bases and scored nine runs.
0:3:15,last night on the appeal no swing. I like this guy he can hit. Takes that one just inside ball to.
0:3:30,That's a little baby cutter. That's that's the great Ohtani waiting in the on deck circle to one foul tip with the fastball two and two really like also that Martha Rosa put Cedric
0:3:45,Defense is going to be key for two for tonight's game is the reason really he made that decision. Randy Rosarito almost stole the show last night running all over the place catching balls that one hit hard up the middle right into the defense. Trey Turner there.
0:4:0,for round number two red eyed Trey Turner we talk about in the middle of everything last night whether.
0:4:15,Mexico pitched to him or pitched around him the offense for Japan in a lot of ways went right through Shohei Ohtani he was in the mix for all of it.
0:4:30,baseball one outside Japan because he's so great and you want to circle him and say we just can't let him beat us but he's got the teammates if you pitch around him and he's.
0:4:45,he's out there on the bases to make you pay. I would still think you've got to be very careful with show Hilton especially right here a little bit change up count right here from Merrill Kelly.
0:5:0,that's going on right now. Oh it's 2 0 this is badly but that one 3 and 0 and it just really tell going to attack him right now. They're going to give him the Barry Bonds treatment. Nothing. He's not going to beat us. He's been highlighted in today's meeting for TV.
0:5:15,in the U.S.A. I'd highlight him to 3 0 strike this pitch from Merrill Kelly's coming up next is it's either my pitch that's going to be called for a strike or take your walk.
0:5:30,"Good hitter's count for a great hitter. The 3-1. Otani takes ball four. It's close, but a two-out walk. He's been fantastic all tournament long. You look at a good team."
0:5:45,team especially in this tournament two best teams in the tournament you look at them up the middle while they are smooth as it gets. Here's your sheet a little bit high ball one. I think Lance Barksdale our home plate umpire have a small.
0:6:0,What a tournament for Yoshida. Including a huge three run home run last night. He pops this one up behind home plate. Real Muto back to the backstop but it's beyond his reach.
0:6:15,and the way he's going to be able to get that reach think about Merrill Kelly though when he comes inside to left handers kind of gets around the baseball he's got that cutter he's got that run he's got that good change up he's going to need him all time.
0:6:30,tonight he does also have a very good pickoff move it's gonna be tough as long as Kelly's in the game tough to run on USA.
0:6:45,Another pick off throw. The one one. Fouled off to the left.
0:7:0,One strike away from getting through this first inning. Packed house in Miami championship game.
0:7:15,recent weeks of tremendous baseball Kelly's one to sort of flip down the left.
0:7:30,feel alive but foul excess there and it's turned into one of the better starters in the National League for the Arizona Diamondbacks another one to
0:7:45,two to Yoshida. Want us to win this freaking game. There was an intensity with the manager for Team USA Kyle Schwarzer a high strike given by Lance Barksdale.
0:8:0,for any number two we ask Mark DeRosa about what was the message for Team USA says really none. And I think these boys know what they got to do what's at stake. They're ready to roll. Get short with a swing through the.
0:8:15,the fastball zone to a quiet world baseball classic but I don't think there was much of a decision to be made to have him in the lineup. Oh to that one is hit off the end of the bat to right field Condo charging in and he'll get there.
0:8:30,So far for him and Naga it's been that good fastball to start things off say hitters have been thinking about they understood that they had a ride but it's just really getting on them.
0:8:45,the last two games had the home run the team USA will never forget in the come from behind win against Venezuela and then two home runs against Cuba in the semis breaking ball off the outside and it was a dilemma.
0:9:0,because the way the last team USA wanted to move him up but he was so good in that number nine spot. Well there was superstition or comfort or whatever. But here he is hitting sixth and he takes low ball to.
0:9:15,here at home to Turner right back to the backstop. We've seen from Trey Turner is when he gets on a big wave more than not he usually stays on that wave of hitting for a long
0:9:30,Yankee kind of stays consistent gives you good at bats when he's on one usually for a long time to one pitch Turner hits another one down the left field line he's done it again.
0:9:45,and it's gone!
0:10:0,America's shortstop Trey Turner we talked about the way he's riding a big wave trying to throw that cheese inside Trey Turner was absolutely ready for it.
0:10:15,what a week for Trey Turner
0:10:30,Walker what a smile. Diro is just he just didn't want to mess it up by moving.
0:10:45,for the most home runs in a single World Baseball Classic in history and he's going to have some more bats tonight. Who knows inside ball to the real Muto I just want to say
0:11:0,I just don't understand how you even he was ready for a mutual spend three new teammates with Trey Turner went around there to a two.
0:11:15,that's going to be one of those I mean Trey Turner is one of the best players in the world period. But for him to be the guy to flex the muscles to bring the huge power.
0:11:30,I think that has surprised some folks to to full count now three and two on the twenty twenty two season Trey Turner twenty one home runs one hundred RBI eyes.
0:11:45,in a hundred and sixty games guy that plays every single day. Maybe the new feature for Trey Turner's game is upping those home run count career high 28 in a single season. Muto fouls that went out of play.
0:12:0,He's in a great stadium to up those home runs too. Yeah you could be coming for a new career high this year. It's funny Team USA's hit 11 home runs more than any other team in this world baseball classic. Turner's got five.
0:12:15,nobody else has more than one he's the only player for Team USA who's hit more than one and he's hit five of them pound for pound one of the strongest guys in that team great turn three two no Muto blind drive
0:12:30,five base hit left field. This is a game seven so we'll have to see how both managers want to work their way through this game. It's only the.
0:12:45,second inning left handed hitter Cedric Mullins homered against Cuba in the semifinal win he takes ball one more than the ones that the managers will say OK he's had enough.
0:13:0,Want to pitch Mullins takes a strike kind of that get it in breaking ball Japan's not going to wait around if if he gets into more trouble.
0:13:15,that's a good slider right there a little bit of a split
0:13:30,the one two to Mullins. Perfect pitch right on the outside. He's soft good pitch calling.
