start,transcript
0:0:0,twenty one year old right hander against Randy Roser and the first pitch of the night here in Miami is a fastball at one hundred and one miles an hour. We're going to see that one hundred and one miles an hour and I would think it's fastball and then adjust.
0:0:15,Rosarito's and another great tournament here just thrives in these big game spots got the call that time Rosarito didn't think so and he's talking to Quinn Wolcott who's our home plate umpire about it.
0:0:30,He just wants to know hey you're going to give him that it's going to be a long night for these hitters. So Saki throws and a total breakdown of a swing wanted to.
0:0:45,one to through it again it looked like it missed to a two
0:1:0,and strikes out swinging 1 0 2 or Max coming at you only Shohei Ohtani really in the history of Japanese baseball has thrown as hard as this guy.
0:1:15,He starts off Alex for Dugo with a splitter because this guy is so polished and of course he has pitched at the highest level in Japan he is already a professional and a very successful professional.
0:1:30,pitcher in a competitive Japanese league innings fifty two batters across the street who does handle velocity maybe not that velocity it's one to two.
0:1:45,that's hard to hit a hundred up out of the strike zone so good with that fastball up in the zone right there. Got two ways to go here. So Saki is one to.
0:2:0,to Verdugo to left field and deep hit it very well but not quite well enough caught right at the edge of you got to hit it and then you got to hit it some more to get it out of here especially to left field.
0:2:15,Now a guy Joey Meneses we know he has power it's just after eight ten in the morning Tokyo time tomorrow from where we sit Tuesday morning in Tokyo.
0:2:30,The television ratings viewership of these world baseball classics the whole country essentially has been watching this Japanese team Well then I would say konnichiwa Good morning to everybody in Tokyo
0:2:45,for.
0:3:0,Two down bases empty Manassas waiting to strike pitch. He struck him out in the dirt the splitter. There's the tag for the put or look this guy he's no he's no he's not surprised against team.
0:3:15,USA he's up for another challenge against Japan is an established major league starting pitcher he doesn't have but he's good he's going to challenge you.
0:3:30,It's got a lot of heart it's going to be around the zone not going to walk anybody. It's got really good feel like that. Wanted to do the first player and he's kind of become.
0:3:45,a massive star in that country. I would think this is the bait pitch right here. Not so much an action pitch. And it worked. To start the bottom of the first. There goes the fastball.
0:4:0,"about 37% of the time, which is a mix of the four seam and the two seam. So, you got to pick and choose your battle with him. Kondo has hit a home run and four doubles already in this tournament."
0:4:15,right now he's going to see how
0:4:30,A lot of time to fastball up in the zone. Of Pondo. He's got lightning hands. He can catch up to that heater up in the zone.
0:4:45,to the left hands catcher behind the plate Austin Barnes is a good player for the Dodgers.
0:5:0,the middle defense from Mexico has been strong. Classic. Another one to strike right to go on the outside.
0:5:15,"Really sharp with all his pitches, I know it's been a basketball slider, but it's been great So now The great Otani Will nod to his teammates"
0:5:30,All the arching him stand in for the first time in this semifinal game he's dominated this tournament so far.
0:5:45,The in the seventh inning.
0:6:0,the 0 1 even his teammates. You can't miss this at bat.
0:6:15,and the lineup from the
0:6:30,but it's gone.
0:6:45,and the dirt bounce that change up the pitching prowess you heard J.P. tell us there's a chance if Japan can advance to the championship we could see him.
0:7:0,him on the mound tomorrow. Tonight he's the D.H. to do. Stop the outside sound of all thought he had and you've got to dominate with your fastball but you've got to be very careful with this guy right here.
0:7:15,Full count to Shohei Ohtani three to pitch is straight three. Japanese team had to travel from Tokyo and they basically just arrived in town when he came to Japan.
0:7:30,So instead of holding up in a hotel room and just sleeping off some jet lag he was here at the ballpark facing Roddy Till is here to start the second inning no score.
0:7:45,"Back up the middle and right into the defense for our number one. And we talked to Kuriyama, the manager for Japan. Having, you know, five days off, said, well, Darvish was very big with that. He was very informational. He asked, hey, everybody go home."
0:8:0,Everybody try to work out kind of get it off of you for the most part they're OK they practice and they feel like they're very prepared for tonight's game. And that is why their quarter finals took place several days before the quarterfinal games here just to allow the.
0:8:15,of teams that played across the world to travel here and get acclimated fastball to Isaac Paredes misses high ball one six hits but a bunch of big hits for Mexico in this world baseball classic.
0:8:30,right against right and he takes a strike right in there. You mentioned it Sasaki it's once in a while throws a pitch one hundred miles an hour. He basically sits at one hundred for a full start.
0:8:45,at age 21 it's special try that
0:9:0,Or maybe that was just a splitter that came out a little funny went to the backstop two and one major Martinez about the splitter Asked him. Can you really do that? Can you make the splitter go from side to side? Will and Pedro said absolutely
0:9:15,It's just a matter of how you grip it and what pressure you put on what I would think you would see a fastball here challenge the big boy.
0:9:30,field that's going to be a hit for the first two of the game comes from the soccer it is cut off in the outfield by Yoshida and holds Paredes to a one out single. We know he had a big game against Puerto Rico wasting no getting in.
0:9:45,Only three hits so far but very capable friendly call for Sasaki strike one. To the. Japanese first baseman.
0:10:0,to I'm sure not real comfortable down 0 2 having seen those two pitches here it comes.
0:10:15,Off the outside with the split. Trejo waiting to hit next. Mexican fans start to come to life in the stands.
0:10:30,Pedro's point when you talk to him about throwing that split finger pitch was you can manipulate it's not just throw it and see which way moves you have some control.
0:10:45,control is the pitcher over that's very hard to control but in sessions and you don't know what it wants to do to you to another right there there's not that much action there there's not that much side thing about Japan if you're going to beat him
0:11:0,"You've got to beat them, and it's got to be a clean game. You've got to punt the ball. You've got to run the bases the right way. You've got to get the crucial hits and play good defense. They're just not going to give you a game. They're not going to walk guys. They're not going to play sloppy."
0:11:15,Another one to Riaz right back up to Sasaki and hit the pitcher maybe right in the midsection and Riaz will be safe at first.
0:11:30,here you've got to give Luis Urias credit just behind the count 0 2 Saki throw a practice pitch to make sure he's OK
0:11:45,just a little practice pitch at ninety three miles an hour. Why not. Yeah that's the get it in velocity. Just get it in there. Let me just feel my way to it.
0:12:0,chance to put Mexico ahead in this game just off the outside. OK so the game starts again right back to 1 0.
0:12:15,really stay on that heater
0:12:30,with a whole lot of nuance. Alan Trejo struggled to hit his solid player good defensive shortstop last that bad the one one was a soft count but if it ain't broke.
0:12:45,Why fix it to throw that heater and again those misses are small misses like down fastball split mostly as you said he'll show the slider in the curveball every once in a while.
0:13:0,What is his go to righties or lefties. Fastball on the ground should be to there's one throw to first got a double play five gold gloves is entering the league in twenty seventeen. That's pretty special.
0:13:15,We're going to see a lot more of had to play there's Genda player. We were just talking about the shortstop Had a great tournament so far By the Boston
0:13:30,Austin Red Sox in the offseason to a big con with RBI is Trey Turner extra base power.
0:13:45,Baseball use that change up one to two. The main questions he's shown power in Japan will that power translate to big league baseball. Not a huge question for tonight. We know he's capable in this setting. He hits out on a line back up the middle base.
0:14:0,"So the first hit for Japan, Yoshida with a lead-off single That's an absolute rocket that works in the big leagues that works in any how left-handed heavy this Japanese lineup is another lefty comes up here Moritaka"
0:14:15,Tommy the third baseman fastball for a strike guy has put up huge numbers in MLB but he has not had a great world.
0:14:30,baseball classic and I think he's been deceptive to that. Oh yeah. First an average homerun so he won the Triple Crown. I'm glad the league and runs on base slugging that was a huge year.
0:14:45,in the dirt and a great block by Austin Barnes the catcher. One of the things I love about Murakami is the way he sets up his front foot. You know he doesn't have it just just there. He has it kind of on his tippy toes to feel that weight.
0:15:0,most hitters tend to do that to feel rhythm to feel weight with his back hip he has that rhythm that ankles always moving up and down up and down up and down
0:15:15,That's for the 1 2 and he took the fastball as his timing mechanism where most guys use their timing with their hands. He's actually using it with the front toe of his right leg. Edgar Martinez used to tell me that as a hitting as a.
0:15:30,hitting coach in Seattle he says hey you know you're a Latin guy you can dance you got to have a little rhythm make sure you're just not still you know you look like a robot out there have a little bit of more rhythm as you see right there look he's always moving it
0:15:45,to to inside of all strikes and outswinging that's a good slider right there. Good good hack but for Monte Tucker Murakami.
0:16:0,You have to imagine in Japan there is a little pressure building on him from the outside at least because of what a big star he is chopper to short the flip to second that's one for the first double play double play.
0:16:15,So Saki back to work here in the third strike one. Alec Thomas the hitter for Mexico.
0:16:30,"A good athlete in his own right. Excellent defensive center fielder. Early in his young, bigly career has struggled to hit. Big bounce with the first. Taken there by O'Reilly."
0:16:45,He's got that splitter word or first right to make hitters kind of chase after it I think I do have an idea in the lineup there's a lot of communication going on in that game.
0:17:0,that dugout in Mexico saying all right got to pick pick and choose our battle here what picture we attack fastball to Austin Barnes called Swan to hear any more from the Mexican dugout well we know one thing we will he's
0:17:15,He's got a short fuse they'll let you know quick we've had great conversations throughout the games in my time you and Quinn very good ones love cafe Cito's and empanadas just like me.
0:17:30,the 0 1 pitch fastball really talked about how his day was going Austin Barnes I think he's been a big difference maker for this team.
0:17:45,absolutely they're fast moving for a strike while these hitters.
0:18:0,one to off the outside through that splitter just missed a good split action here to two out of time to throw that slider.
0:18:15,hitters thinking OK fastball right now fastballs coming you throw it off with that split be very tough to two and he threw another off speed pitch full count
0:18:30,on deck if you're Barnes you got to know it's coming 3 2 on the ground the third he didn't throw the fastball a little bottle there but enough time for more comedy to throw out Austin Barnes.
0:18:45,Barnes two down so two outs for Rosarito struck out his first time up he takes a breaking ball for a strike.
0:19:0,always and maybe it's unfair of me you got to think and we're coming struck out in the last half inning goes back out on defense at third I always wonder whether maybe a little the focus still on.
0:19:15,in the at bat that didn't go so well but he made the play or you try not to doesn't mean you don't think about it from time to time or else rain a swing punch shot to.
0:19:30,But the results have been excellent on both sides. Tatsuto Yamada right handed hitter he goes after the first pitch from Sandoval fouls it out of play.
0:19:45,I always talk to guys that had more power it doesn't matter if it goes out of the stadium as long as we get the job done that's what matters I think it's the same thing for pitching you can throw 100 I can throw ninety three to ninety five but I'm getting these hitters out it's the same thing.
0:20:0,comes in all sizes weight and height doesn't matter as long as you can play the game you can play it.
0:20:15,tonight Japan trying for its third all time world baseball classic championship they won the first two haven't won since then went away here tonight from playing for a championship tomorrow.
0:20:30,foul off to the right some very big inning for Sandoval you got seven eight nine coming up you want to make sure you put a clean inning here actually in this lineup for their defense yeah all-around play
0:20:45,You want to start rallies it usually comes from the seven eight nine hitters Struck him out all that dandy that change-up is unhittable
0:21:0,One out. Strike two. The left-handed hitting shortstop J.P. was talking. See that pinky finger on his bottom hand. Wrapped up. Bunce.
0:21:15,Sandoval off the mound and throws him out. That's a good job right there by Sandoval. Really gets off the mound well. More reps than BFPs.
0:21:30,He did a great job overall he pitched four innings for Team USA helped him get the win. Did not have a great night fielding his position all one to the ninth place hitter Nakamura.
0:21:45,that's a good change of count right here. Let's see if you get some soft contact with it. Here we go then. Money Mono.
0:22:0,three time winner of the Golden Glove defensive catcher for the cold swallows in Tokyo fly ball down the right field line.
0:22:15,that one just beyond the reach of Alex Verdugo wanted to clear that as a distinguished career 14 seasons.
0:22:30,one to a little check swing looping liner caught by second or for Mexico Alex Verdugo takes a high stretch through.
0:22:45,Well shake in his head like man. Off the inside.
0:23:0,a big count here stayed with it
0:23:15,Yeah he's staying with it especially later in the game. He's got a good really good feel for it. Usually when he's got good feel for it like that early on he will continue to have good feel for it later on in the game and he'll come reliable become his pitch that he goes to.
0:23:30,doing key spots that he wants to win the count on his head one two and he struck him out just never deviated leagues.
0:23:45,And he may not see many more fastballs tonight. One out for Joey Manessas there's a fastball.
0:24:0,going on right now with Sasaki his adjustment periods right now and he read a lot of these hitters in the first time through. This is to left field Yoshida catches it on the edge of the warning track two down.
0:24:15,it's the hair at the end of the ball yeah hey man i just missed it just a little bit more against team USA than SS did
0:24:30,it did in pool play Roddy Tellez Fergie now.
0:24:45,School told as right over top the splitter Kala's now is you gotta cover zone cover up in the zone at one hundred and two you gotta cover zone. You gotta spread like a feather ball. Say that out now at three
0:25:0,you can cover the split down under to he's in a pickle right here. Big hole until his answer time.
0:25:15,and nobody's there at third he
0:25:30,Oh well that's a really good two strike approach right there. Oh it's just hey I'm going to pick right here I'm going to try to get a good pitch big hitters though nowadays they're seeing a hundred.
0:25:45,a lot. Zacharias who had a base hit his first time up comes up for the second time and just a little bit. His catcher thought that was a strike. Benji Hill a manager for Mexico.
0:26:0,He really likes this player. Strike it's one to one. And a really good year for the Rays. So far these one one counts have been soft.
0:26:15,What parade is this in two fastballs. You got the splitter there one or two. The problem with the 1 1 counts man. You know he's gone soft with him but you just respect him.
0:26:30,back to fastball so much you had your chance early on in this at bat now you're in a little bit of a hole could be action pitch here runner at first two down the one to just stays alive against the splitter.
0:26:45,the Broncos maybe Series 4 your parade is here. You've got to pick and choose your best the zone's got to be up one two.
0:27:0,that's a guy that's showing me he wants to make sure he's the right hander a lot of times we're seeing nowadays in the big leagues finish right handers off
0:27:15,Get the bright nail polish to make for easier visuals on the catcher's signals to two on the ground foul by third right on right.
0:27:30,this is two at bats where he has really hung in there against this sensational young right hander he's seen a lot of pitches down in this game big spot for the Hermit Crabb
0:27:45,Parades. Tutu he hits a little pop up behind third and it's going to fall.
0:28:0,hit Murakami picked it up off the balance so Sarge a bit of a stressful situation wins the game. Big moment here Luis Arias he
0:28:15,He hit the ball that came right back to Sasaki and hit him in the stomach just a little late. That pitch was right down the middle but at 100 miles an hour.
0:28:30,"But just a little late, he's got to shorten up. One thing to keep in mind, Donny Telles, the lead runner, does not have a lot of speed."
0:28:45,They said to the outfield not guaranteed that he could score Oh one Maria's to Latvia
0:29:0,"Mexico! Magdalena, Mexico! Mexico's final!"
0:29:15,Luis Urias cuts huge! What a moment! Wow!
0:29:30,"Hanging splitter, Dave. He got the hanging splitter for a base hit. And the first time back, hanging splitter again for Rick Homer."
0:29:45,Biggest hit of his young career.
0:30:0,strike it's on to so many titles got right there two outs nobody on the ground ball to beat the shift nobody was a third old pop up broken back pop up at three hits all tournament until tonight.
0:30:15,Saki misses up in a way wanted to all of a sudden now he started this ending at forty four pitches up to sixty three
0:30:30,Makes the throw three innings top of the order Lars Newt Barr and team Japan's got some work to do. They sure do. Strike one. Luis Arias with the nickname huge. Tonight's ballgame.
0:30:45,New bar struck out in his first at bat hits big bouncer on the first base side foul. So he falls behind in the count 0 and 2.
0:31:0,Japan does have the bullpen working number 18 out of the bullpen guys really in terms
0:31:15,Those are just success and numbers the most accomplished pitcher right now in Japan. Newt Barr right into the defense. Trejo throws him out. Point location.
0:31:30,and that's been the key right there pinpoint location not really falling behind these hitters getting strike one on a soft pitches early on it's getting calm.
0:31:45,So this is a key hitter for Japan. McTonnie sound of all that.
0:32:0,it's 2 and 0 I think a lot has to do with that you just lose it for a little bit as you know. Hey I can't have this guy get on first base. It's a problem.
0:32:15,If the play by play guy notices the presence of the on deck hit or you can bet this lefty heavy lineup for Japan good matchup for Patrick Sandoval.
0:32:30,That one on the ground in the right field base hit. So Kondo comes through with the second hit of the game for Japan and there will be a base runner on for Ohtani. That's a good piece of hitting right there.
0:32:45,"of all he wants that slider back a slider had no bite to Tommy against his angels teammate. And the first half back, Sandoval threw him a couple of change ups kind of had show hey a little bit of this sport."
0:33:0,Does he go back to that change up or is it more of the fastball slider combo. One thing's for sure though. He's got to have pinpoint location. With a very dangerous hitter. The power of the. Motani displayed during batting.
0:33:15,practice today was breathtaking waiting for the first pitch from Sandoval and it's in the dirt. Nice pick by Austin Barnes.
0:33:30,Ohtani was hitting the ball to places in this ballpark that I did not know were possible to reach way up in there He hit the he hit the video board on the fly When I pulled it a little more he literally hit it second deck
