start,transcript
40:0,one on one like that one right there that that splitter had no bite down on it just kind of stayed true. Verdugo shaking his head like man.
40:15,Off the inside. Big count here.
40:30,Staying with it. Yeah. He's staying with it especially later in the game. He's got a good really good feel for it. He's got a good feel for it.
40:45,usually when he's got good feel for it like that early on he will continue to have good feel for it later on in the game and he'll come reliable become his pitch that he goes to in key spots that he wants to win the count on said one to.
41:0,And he struck him out just never deviated. We know he hit that fastball Verdugo to left center on a bat earlier in his first at bat.
41:15,that Saki has definitely made the adjustment saying no no we're not going to give you the fastball anymore we're just going to give you all the splits. Oh he showed those numbers early in the game about Verdugo and how well he hits high velocity and he's one of the better high velocity hitters.
41:30,in the big leagues and he may not see many more fastballs tonight one out for Joey Vanessa's there's a fastball.
41:45,I'm seeing right now with Sasaki his adjustment periods right now and he read a lot of these hitters in the first time through. This is to left field.
42:0,Yoshida catches it on the edge of the warning track two down just a hair off the end of the bat from Manassas right there got a good breaking ball split and hung
42:15,I think Manassas is going back back saying man I just missed that man I just missed it just a little bit more.
42:30,They hit two home runs against Team USA and SS did in pool play. Rodney Tellez. It's fair to say.
42:45,That's splitters a dandy and now he's he's mixing and matching now right over top the splitter.
43:0,to cover up in the zone at 102 you can cover the split down under.
43:15,and ninety one ninety two he's in a pickle right here big hole tell us that's the time.
43:30,the 0 2 on the ground and nobody's there at third he beats the shift with a ground ball
43:45,"Well, that's a really good two-strike approach right there, and that's where it starts. It starts at the top of the zone. Look how, look how he hits this. Just gets on top of it, doesn't try to do too much. Too heavy."
44:0,and finish you know what I love about this and just puts his foot down there's no there's no leg kick involved it's just hey I'm going to pick right here I'm going to try to get a good pitch and just put some food on it and hopefully I'm lucky that was.
44:15,one oh two that fastball he's a big league hitters though nowadays they're seeing a hundred lot. Zacharias who had a base hit his first time up comes up for the second time.
44:30,and just a little bit I as catcher thought that was a strike Benji Hill a manager for Mexico really.
44:45,likes this player strike it's 1 and 1 and a really good year for the Rays last year.
45:0,So far these one one counts have been soft operators as in two fastballs you got the splitter there one and two.
45:15,The problem with the 1 1 counts man you know he's gone soft with him but you just respect the fastball so much you had your chance early on in this advent now you're in a little bit of a hole could be action pitch here
45:30,Runner at first two down the one two just stays alive against the splitter. Your parade is here you've got to pick and choose your battle right. You got to pick and choose which
45:45,to protect and what velocity you're going to protect more than now you protect three quarters of the way outside of the plate. The zone's got to be up
46:0,that's a guy that's showing me he wants to make sure he gets something up in the zone you're also deceptive to the heater up the riding heater.
46:15,A lot of times we're seeing nowadays in the big leagues finished right handers off. Get the bright nail polish to make for easier visuals on the catcher signals to two on the ground.
46:30,ground foul by third right on right he's operating as this is to a batch where he has really hung in there against.
46:45,right hander he's seen a lot of pitches down in this game big spot for the Hermosillos Parady's top of the ninth in
47:0,two to the it's a little pop up behind third and it's going to fall.
47:15,for a commie picked it up off the bounce so Saki came over to cover so that forced tell us to stop at second but back to back two out hits on a great at bat though by Paredes the more the at bat went on the better he felt saw that forcing.
47:30,right there but it was up in the zone. Dave I think that's where he was looking the whole way out. Everything had to be up in the zone. Gave himself a shot. Got lucky. They're in a pickle now of your team.
47:45,that's been going on for a couple of weeks. It's a little bit of a stressful situation. First and second two outs the team that gets base hits with two outs more than not becomes the team that wins the game. Big moment here. Luis Urias he had a hit.
48:0,In his first at bat he hit the ball that came right back to Suzuki and hit him in the stomach. Just a little late that pitch was right down the middle but a.
48:15,at 100 miles an hour he's seen the baseball good but just a little late he's got a short enough one thing to keep in mind.
48:30,and I can tell as the lead runner does not have a lot of speed they said to the outfield not guaranteed that he could score one.
48:45,field.
49:0,200 what a moment.
49:15,"Wow! Hanging splitter, Dave. He got the hanging splitter, Dave."
49:30,for a base hit and the first time back hanging splitter again for a homer biggest hit of his young career shaheo tani almost like okay we got
49:45,got our hands full this Mexican team has played great baseball this play just never died and never and never had the bite.
