start,transcript
0:0:0,and this right now is the time where every table tennis fan in the world wants to see what will happen between the man on top right there Ma Long the dragon the dictator the captain he's world-ranked number one he's the Olympic
0:0:15,gold medalist he's the standing world champion from Sujo in 2015 and the only player that seems like a serious contender and he's beaten Ma Long once on the world tour and despite having beaten him three times in the
0:0:30,same Chinese Super League season going 3-0 when the pressure is there there seems to be a mental block or hurdle that is keeping Fan Zhendong from becoming world number one and this will be a real test for the 20 year old
0:0:45,"to see if he can overpower and outsmart, more importantly, Ma Long here to become the world champion at 20 years old. There's the cup they'll be playing for, the world champions, we'll see."
0:1:0,"Fan Zhendong on his side of the draw started off beating Paragorel of Sweden 4-0 One of the best servers in the game, very difficult to play but Fan Zhendong steady in that An average of a little less than 5 points per game it appears"
0:1:15,"of the year. of the year. of the year. This was a 4-2 This was a 4-2 victory over victory over Ruan Filus. Ruan Filus. Again, for a defender to take Again, for a defender to take two games off of Fan Zhendong. two games off of Fan Zhendong. Really impressive. Really impressive. So let's see what else after So let's see what else after that."
0:1:30,"And the amount of championship titles, you can see the results here. Look how many championship titles we have. 2008, 9, 11, 15, and 16. So we're keeping track. I know Ma Long is chasing Vladimir Samsonov."
0:1:45,for world tour titles but as world champion this is just dominant performance out here and again it's been a question of time world ranked number two Fan Zhendong with explosive power on both sides he's got the touch he showed us that roller under the net clamp against
0:2:0,commentator narrates a specific sports game
0:2:15,"ball powerfully from both sides and have touch. What are your thoughts Gavin? That's exactly it. You get to the world number one, two, three, four. It really is a mental game. Possibly on the world tour."
0:2:30,"guys are playing with with small injuries throughout the season but you always feel when it gets to the really big pinnacle event of the year it's the outstanding two that do get to the final. The world number one, world number two."
0:2:45,to be played.
0:3:0,"against Ma Long. It was in the China Open in 2016. It was a 4-0 victory, but Ma Long has won every other encounter. He's 10-1 against Fan Zhendong, although we do have to look at the most recent matches."
0:3:15,to
0:3:30,"to be maintaining his level, but there's not much other place to go than down from here. By the time he's 30, if he's still able to keep up this performance, Fan Zhendong is going to be 22 years old and still on the incline on his way up."
0:3:45,"A solid backhand at the back of the table, early in the match again, players still feeling each other out. They were actually warming each other up in the practice hall, interestingly enough."
0:4:0,"Now we talk a lot about mental focus. In the practice hall just earlier, there was a member of the staff who had a medical emergency that was quite scary, and I noticed Fang Zhendong, everyone was looking at him."
0:4:15,"was watching in concern, but Fan Zhendong was very focused and made sure that he kept his head in the match for practice here."
0:4:30,Not a point dropped yet from the focused Xiaopang Fangjiandong.
0:4:45,sweet spot and how big it is on the backhand side that ball's a wide to the backhand shot and he's moving to get to it but still able to counter and generate a lot of pace it's always like he's making his shot while moving the setup for the next so fast
0:5:0,"First point for Ma Long so far. By the way, as we get started on this match, if you have any questions for the commentators, you can send them into the social media."
0:5:15,on social media at I T T F world at I T T F world on all social media hashtag ask the commentator Gavin and I'll be happy to take those questions.
0:5:30,And that's interesting there. Fan Zhendong opting in this early exchange to go with the little reverse serve. It's a very similar action to the Zhang Jike reverse serve.
0:5:45,"I feel like because we've seen Fan Zhendong playing later into most tournaments than we've seen Zhang Jike recently he's almost sort of taking ownership over that serve, the reverse pendulum"
0:6:0,and I have to take it back to that meal in Kuwait few years ago 2015 with Ma Long and Fan Zhendong and one thing Ma Long said is he said I wish I was fatter which he said with affection like Fan Zhendong so I could hit with
0:6:15,more
0:6:30,"full of Nutella and bacon, which you wouldn't expect an athlete maybe in the past to be eating, but he was loading up on animal fats and a lot of stuff to make sure he had an unusual amount of energy."
0:6:45,short side of the table beautiful shot from Ma Long we're seeing some slow sort of uh development on Ma Long's side of the table Gavin what do you think would be responsible other than the quality of Fan Zhendong's shots? yeah just misfiring a little bit
0:7:0,"a bit early on. You know it's important that he can find a little foothold in this match, possibly touching a little bit shorter than he is at the moment to get that first attack into the right area."
0:7:15,Here's the St. Bride race that they'll be playing for since 1929 in London to honor Fred Perry winning the title.
0:7:30,"1929 a lot of people don't think of fred terry of fred perry for his table tennis, but tennis and table tennis A bit like you gavin I think it'll be a while since we you know until we see that repeated"
0:7:45,Someone winning a major in both tennis and table tennis. I know Monfils is quite a recreational player.
0:8:0,Commentator narrates a specific sports game.
0:8:15,
0:8:30,"A little bit off the top of the net, but power for power, the backhands just explode one after another. Landmines going off at the corners of the table."
0:8:45,but that was better there mile long just just settling things down a little bit around the net that's where he can sometimes be in the ascendancy
0:9:0,"So while he's made a comeback by quite a bit, he still has a ways to go. Fang Zhendong again, much like as far as the mental game."
0:9:15,"just like the other players against Ma Long who are strong underdogs where Fan Zhendong is not, it's important that he gets in early to keep Ma Long playing nervous and keep a bit of confidence on his side of the table"
0:9:30,"So quick with that backhand, just a bullet back down the line, a parallel shot anyway. Now five game points for Pan Zhendong to take the first with authority."
0:9:45,Look at the quads on Fan Zhendong. The little wishbone above the kneecap.
0:10:0,Commentator narrates a specific sports game.
0:10:15,you have to think of another way to win points that will be either little short exchanges around the net or little subtle changes in direction throughout the rallies. So one game point saved the serves are on the side of Fan Zhendong
0:10:30,Дякую за перегляд!
0:10:45,"Well placed push deep on the table. Fast, long push, you know, can be so good if the surprise factor is there and it's deep. And as long as you don't just go right onto a wedge."
0:11:0,right well placed in the middle there by Ma Long
0:11:15,"oh man to get those back! what an effort from Ma Long, and what determination and focus from Fan Zhendong to finish that point! This is going to be in the highlights for sure!"
0:11:30,I felt like the patience of Fang Zhendong was so impressive to keep Ma Long from getting the first attack. Very confident play from the 20-year-old and Fang Zhendong 11-7 over the standing world champion and Olympic gold medalist in game one.
0:11:45,Game 1 will be back for Game 2 right after this.
0:12:0,— А ... — Долгожданне!
0:12:15,"игра, в соответствии с рекламой, ведь телефон готов на использование специально дляsy mad rider"
0:12:30,"And as the drums were beaten, Ma Long was beaten in game one as well. Now we saw a chance, I'd say we got a chance to look at the rackets and the equipment."
0:12:45,"on the table, Ma Long's racquet, Fan Zhendong's racquet. It appeared that the sponge on Fan Zhendong's forehand was a bit thicker than Ma Long's. What were your thoughts on that Gavin with the table tennis legends and what not? Yeah, obviously with the thicker sponge."
0:13:0,that
0:13:15,the Swedish legends of Jannevi Valdner and Jörgen Persson. They always opted to use the 1.9 sponge which was notably thinner than other players. So giving them a little bit more touch.
0:13:30,"Excellent shot, playing the high risk. That is a very interesting thing to pay attention to. I mean, Waldner often thought of as the greatest touch of all time. And then what you're willing to sacrifice. People always ask, what would you recommend? I'm just getting started, or who knows."
0:13:45,"Yeah, different preferences for different players, of course. Fan Zhendong, the cannon on both sides and the touch. Almost, if that one comes back around the net. We got another shot of the year."
0:14:0,potential here the angle look how far he has to go to get that there was one point with John G Coe where he was going the opposite way and slid back to recover a netball was so amazing
0:14:15,"Again, turns just early enough, I guess I should say just late enough to not give away the opening, but early enough to get around this ball and play it down the line."
0:14:30,he was really misfiring in that first set but he still has the confidence to try these shots just because they were missing in the first set you've got to keep going
0:14:45,"Beautiful rally and an excellent finish from Fang Zhendong. You know, we're talking about confidence. For his whole career, Ma Long was winning. He had a head-to-head winning record against Zhang Jike."
0:15:0,"The match became important, Zhang Jike would always steal the title, and it seemed like a confidence reducer, something that just, Ma Long needed confidence, and in 2015 he found that, and hasn't been stopped since, hasn't slowed down."
0:15:15,but it seems like Fan Zhendong is finding some real confidence That's world class play from Fan Zhendong but I feel there the last couple of points they've been really good points for Ma Long as well the backhand-backhand exchange in the second last point he changed the pace
0:15:30,is
0:15:45,or backhand-to-backhand exchange with Ma Long changing pace.
0:16:0,"Sometimes not hitting it hard shows your confidence, that you're willing to change the pace and deal with the heat and give it right back to the opponent."
0:16:15,"assets on the field in that game. A very good backhand off the bounce, allowing Fan Zhendong to open first. Very bold play. And it was really bold play round the net there as well, he was doing a little bit more on the receive, he wasn't just touching short with less spin so that Fan Zhendong could, could spin freely as well. That's a very dumb offense. You know there's only one way to hold an offense. If you have an active player, there's no guaranteed behind you an offence to be able"
0:16:30,between a young girl and a cyborg.
